N,S_wide,Err_wide,S_narrow,Err_narrow
100,0.8192,0.132679,0.99,0.0481546
600,0.989867,0.0480134,0.94875,0.00448146
1100,0.856436,0.0932549,0.957273,0.0135048
1600,1.0368,0.0977037,0.925313,0.0203328
2100,0.906971,0.0397513,0.9525,0.00845174
2600,0.9216,0.0242634,0.957115,0.0133382
3100,0.977755,0.0351901,0.977661,0.0350911
3600,0.9472,0.00284041,0.928125,0.0173551
4100,0.951571,0.00746789,0.940061,0.00471798
4600,0.923826,0.0219065,0.925435,0.0202033
5100,0.935655,0.00938287,0.947206,0.00284664
5600,0.910629,0.0358793,0.953839,0.0098697
6100,0.899777,0.0473683,0.944262,0.000269864
6600,0.951079,0.00694704,0.941932,0.00273724
7100,0.97929,0.0368156,0.921549,0.0243171
7600,0.928337,0.0171308,0.920428,0.0255046
8100,0.955733,0.011875,0.953889,0.00992222
8600,0.919219,0.0267847,0.951541,0.00743609
9100,0.85971,0.089789,0.933379,0.0117923
9600,0.909867,0.036686,0.950859,0.00671474
10100,0.937822,0.00708871,0.95146,0.00735107
10600,1.00758,0.0667645,0.946698,0.00230904
11100,0.985254,0.0431298,0.934459,0.0106485
11600,0.986924,0.044898,0.944224,0.000310262
12100,0.946142,0.00172042,0.924731,0.020948
12600,0.973613,0.0308046,0.920536,0.0253902
13100,0.968501,0.0253924,0.939332,0.00548971
13600,0.935153,0.00991432,0.934908,0.0101736
14100,0.977521,0.0349421,0.943404,0.00117831
14600,1.00506,0.0641024,0.963031,0.0196012
15100,0.901256,0.0458028,0.954834,0.0109233
15600,0.951795,0.00770519,0.945288,0.000816582
16100,0.920328,0.0256102,0.964146,0.0207818
16600,0.913581,0.0327537,0.949608,0.00539032
17100,0.940164,0.00460917,0.963289,0.019875
17600,0.946618,0.00222441,0.942699,0.00192513
18100,0.945927,0.00149271,0.940898,0.00383201
18600,0.940869,0.00386268,0.956008,0.0121659
19100,0.936075,0.00893768,0.960314,0.0167249
19600,0.943543,0.00103156,0.944311,0.00021806
20100,0.950129,0.00594184,0.948918,0.00465923
20600,0.948443,0.00415613,0.941286,0.00342056
21100,0.951204,0.00707939,0.924633,0.0210525
21600,0.945778,0.00133464,0.939271,0.00555453
22100,0.950791,0.0066423,0.953756,0.00978116
22600,0.971441,0.0285051,0.941018,0.00370505
23100,0.932239,0.0129995,0.940227,0.00454191
23600,0.964556,0.0212159,0.950053,0.00586096
24100,0.939871,0.0049196,0.952656,0.00861648
24600,0.937418,0.00751633,0.938689,0.00617052
25100,0.966069,0.0228173,0.945538,0.00108062
25600,0.9616,0.0180863,0.960381,0.0167955
26100,0.946317,0.00190579,0.957241,0.0134716
26600,0.949702,0.00548965,0.937979,0.00692191
27100,0.946917,0.00254037,0.952057,0.00798292
27600,0.973542,0.0307298,0.950625,0.0064666
28100,0.93071,0.0146179,0.948523,0.00424126
28600,0.953824,0.00985328,0.94146,0.00323699
29100,0.939546,0.00526279,0.946082,0.00165724
29600,0.9472,0.00284041,0.934738,0.0103534
30100,0.950857,0.00671238,0.945822,0.00138174
30600,0.943686,0.000879721,0.944044,0.000500857
31100,0.940368,0.00439308,0.94963,0.00541339
31600,0.953357,0.00935904,0.942935,0.00167499
32100,0.943611,0.000959189,0.939042,0.00579675
32600,0.947357,0.00300669,0.951281,0.00716079
33100,0.967386,0.0242123,0.95173,0.00763609
33600,0.948724,0.00445373,0.937701,0.0072167
34100,0.953431,0.00943752,0.955755,0.0118981
34600,0.915977,0.0302168,0.940903,0.0038263
35100,0.96186,0.0183614,0.938141,0.00675071
35600,0.934831,0.0102547,0.945758,0.00131415
36100,0.926989,0.0185573,0.945935,0.001501
36600,0.94762,0.00328473,0.938975,0.00586731
37100,0.967418,0.0242458,0.943969,0.000580385
37600,0.973617,0.0308092,0.946376,0.00196835
38100,0.953046,0.00902946,0.949724,0.00551311
38600,0.964576,0.0212373,0.942494,0.00214254
39100,0.932338,0.012895,0.936886,0.00807926
39600,0.932461,0.0127648,0.942273,0.0023763
40100,0.952499,0.00845042,0.945898,0.00146167
40600,0.957415,0.0136552,0.941675,0.00300927
41100,0.95972,0.0160955,0.949708,0.00549576
41600,0.938338,0.00654167,0.944567,5.3066e-05
42100,0.95249,0.00844143,0.93677,0.0082027
42600,0.973762,0.0309622,0.94537,0.000902612
43100,0.938706,0.00615227,0.937848,0.00706092
43600,0.966224,0.0229818,0.93922,0.00560816
44100,0.959449,0.0158084,0.951633,0.00753344
44600,0.908054,0.0386053,0.942225,0.00242648
45100,0.940218,0.00455154,0.949989,0.00579315
45600,0.954386,0.0104485,0.941102,0.00361583
46100,0.926709,0.0188544,0.944854,0.000356154
46600,0.962472,0.0190096,0.941524,0.00316943
47100,0.973344,0.0305197,0.941417,0.00328209
47600,0.927408,0.0181138,0.948309,0.00401437
48100,0.953533,0.00954592,0.944953,0.00046165
48600,0.964372,0.0210211,0.947176,0.00281492
49100,0.955594,0.0117278,0.946375,0.00196668
49600,0.954839,0.0109278,0.951623,0.00752321
50100,0.936521,0.00846636,0.949356,0.00512336
50600,0.923017,0.0227636,0.938641,0.00622104
51100,0.935828,0.00919983,0.934785,0.0103042
51600,0.93053,0.0148086,0.957471,0.0137147
52100,0.94774,0.00341266,0.952817,0.00878704
52600,0.934643,0.0104538,0.946668,0.00227742
53100,0.965761,0.0224919,0.947034,0.00266455
53600,0.939749,0.00504801,0.939249,0.00557758
54100,0.927657,0.0178507,0.949949,0.00575107
54600,0.925351,0.0202921,0.936511,0.0084765
55100,0.942786,0.00183266,0.943285,0.00130463
55600,0.948673,0.00440034,0.949249,0.00500988
56100,0.95117,0.00704367,0.942914,0.0016969
56600,0.944577,6.29873e-05,0.941064,0.00365552
57100,0.942403,0.00223859,0.950753,0.00660219
57600,0.952889,0.00886347,0.940195,0.00457575
58100,0.919838,0.0261294,0.942599,0.0020309
58600,0.9728,0.0299442,0.943234,0.00135879
59100,0.971501,0.0285684,0.937348,0.00759062
59600,0.956134,0.0122995,0.946925,0.00254961
60100,0.928756,0.016687,0.936165,0.0088431
60600,0.957592,0.0138429,0.948899,0.0046387
61100,0.942549,0.00208352,0.944705,0.000199271
61600,0.919106,0.0269034,0.940982,0.0037427
62100,0.93809,0.00680523,0.953804,0.00983271
62600,0.939921,0.00486642,0.949744,0.00553428
63100,0.952271,0.00820962,0.942183,0.00247126
63600,0.932709,0.0125014,0.945672,0.00122283
64100,0.92815,0.0173289,0.935207,0.00985739
64600,0.947279,0.00292432,0.943259,0.00133261
65100,0.947239,0.00288204,0.937915,0.00699028
65600,0.948293,0.00399728,0.939752,0.0050448
66100,0.947471,0.00312744,0.941936,0.00273232
66600,0.956502,0.0126889,0.942534,0.00209991
67100,0.94266,0.00196638,0.944229,0.000305365
67600,0.941747,0.00293318,0.941805,0.00287179
68100,0.940095,0.00468179,0.947742,0.00341455
68600,0.930855,0.0144649,0.941851,0.00282247
69100,0.970799,0.0278261,0.9478,0.00347596
69600,0.934106,0.011023,0.938696,0.00616301
70100,0.947456,0.00311106,0.939929,0.00485805
70600,0.942776,0.00184325,0.944713,0.0002075
71100,0.943491,0.00108602,0.942342,0.0023032
71600,0.943339,0.00124787,0.946917,0.00254068
72100,0.926145,0.0194516,0.944376,0.00014962
72600,0.934012,0.0111222,0.9428,0.00181849
73100,0.980294,0.0378788,0.938475,0.00639744
73600,0.937183,0.00776542,0.944908,0.000414076
74100,0.956977,0.0131918,0.940415,0.00434318
74600,0.949739,0.00552899,0.943703,0.000861925
75100,0.925827,0.0197882,0.93781,0.00710162
75600,0.964673,0.0213398,0.941458,0.00323854
76100,0.960622,0.0170512,0.94568,0.00123115
76600,0.969458,0.0264058,0.947438,0.00309238
77100,0.95653,0.0127187,0.946342,0.00193244
77600,0.962771,0.0193262,0.942101,0.00255863
78100,0.930122,0.0152404,0.945922,0.00148722
78600,0.958469,0.0147716,0.947863,0.00354193
79100,0.938818,0.00603429,0.946422,0.00201697
79600,0.957106,0.0133278,0.939629,0.00517491
80100,0.958929,0.0152588,0.94868,0.00440711
80600,0.949677,0.00546336,0.950611,0.00645182
81100,0.93511,0.00995953,0.939202,0.00562783
81600,0.947451,0.00310613,0.945276,0.000803108
82100,0.948042,0.00373176,0.942945,0.00166498
82600,0.942179,0.00247535,0.9453,0.000828414
83100,0.943041,0.00156274,0.948412,0.00412313
83600,0.949037,0.00478566,0.935365,0.00968998
84100,0.948265,0.00396839,0.944652,0.000142945
84600,0.954523,0.0105935,0.941463,0.00323384
85100,0.935077,0.00999488,0.941563,0.00312786
85600,0.937869,0.00703855,0.944579,6.59102e-05
86100,0.943483,0.00109452,0.946855,0.00247557
86600,0.953053,0.00903735,0.939258,0.00556803
87100,0.955694,0.0118335,0.945594,0.00114022
87600,0.963565,0.020167,0.93768,0.00723903
88100,0.938105,0.00678898,0.946098,0.00167387
88600,0.949685,0.00547125,0.944543,2.72134e-05
89100,0.935161,0.00990537,0.939621,0.00518357
89600,0.941829,0.00284655,0.943518,0.00105744
90100,0.958878,0.0152041,0.941928,0.00274084
90600,0.933581,0.0115791,0.947831,0.00350861
91100,0.947003,0.00263215,0.940851,0.00388185
91600,0.931885,0.0133745,0.942863,0.00175137
92100,0.952398,0.00834357,0.947761,0.00343392
92600,0.967824,0.0246756,0.943761,0.000800818
93100,0.937108,0.0078439,0.944613,0.00010178
93600,0.949388,0.00515697,0.940457,0.00429897
94100,0.936291,0.00870967,0.943613,0.000957112
94600,0.948553,0.00427296,0.947735,0.00340705
95100,0.953257,0.00925298,0.943368,0.00121721
95600,0.932097,0.0131497,0.951308,0.00718922
96100,0.923625,0.0221199,0.942425,0.00221555
96600,0.942483,0.00215387,0.944977,0.000486515
97100,0.939422,0.00539401,0.945232,0.000756507
97600,0.943003,0.00160284,0.950625,0.0064666
98100,0.956568,0.0127591,0.945413,0.000948271
98600,0.924508,0.0211847,0.942923,0.00168738
99100,0.944746,0.000242163,0.944455,6.57373e-05
99600,0.953574,0.00958914,0.943622,0.000947784
